Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
07/11/2024,517.166.424,"13.870.416.056,29",490.786.486,"12.970.078.345,14",21.771.678,"782.661.079,44",32.751.141,"1.157.010.459,75"
07/10/2024,556.151.912,"15.234.616.222,41",526.409.083,"14.205.063.943,74",30.169.124,"896.121.470,35",30.525.628,"954.983.922,60"
07/09/2024,613.928.503,"16.807.865.778,51",590.394.591,"15.594.508.129,39",26.606.891,"583.242.518,62",52.691.354,"1.357.727.825,27"
07/08/2024,550.637.601,"15.137.602.060,38",496.534.239,"13.332.588.896,98",43.694.049,"739.235.885,12",43.337.983,"718.642.282,10"
07/05/2024,490.856.345,"12.781.331.815,84",460.592.473,"12.077.941.206,04",11.309.858,"382.372.996,16",10.566.733,"322.402.344,80"
07/04/2024,402.512.286,"11.255.053.526,91",382.608.659,"10.545.130.047,13",33.107.250,"750.153.897,16",32.039.108,"725.990.225,76"
07/03/2024,407.323.692,"11.257.261.346,36",381.468.239,"10.378.822.348,17",53.466.709,"1.497.516.795,25",70.037.120,"1.855.526.483,25"
07/02/2024,380.462.157,"10.204.597.454,17",359.253.444,"9.532.865.387,52",37.712.510,"1.012.293.011,22",40.424.603,"1.010.436.945,65"
07/01/2024,337.854.759,"9.761.351.698,62",324.949.114,"9.101.285.182,52",37.726.414,"885.323.753,65",41.383.247,"837.054.987,20"
06/28/2024,539.504.898,"13.788.861.298,10",518.157.849,"13.077.180.293,38",137.590.784,"3.280.669.256,63",135.914.392,"3.363.020.228,80"
06/27/2024,372.103.037,"9.886.605.260,81",341.572.902,"8.887.703.613,46",32.766.648,"900.131.475,50",40.613.416,"1.038.580.058,66"
06/26/2024,472.465.173,"12.674.418.934,50",447.240.907,"11.541.411.134,47",207.100.617,"3.901.210.412,36",213.144.770,"3.952.420.002,83"
06/25/2024,420.521.982,"11.984.711.983,87",414.830.408,"11.346.605.854,52",221.954.107,"4.790.000.801,76",225.834.906,"4.852.213.806,65"
06/24/2024,905.370.143,"24.068.646.369,16",908.284.861,"23.664.063.494,56",114.636.817,"2.636.318.922,93",116.133.773,"2.899.085.919,35"
06/21/2024,588.913.406,"16.025.991.877,11",532.268.395,"14.163.412.318,93",97.778.442,"2.205.298.086,89",100.439.976,"2.270.800.871,84"
06/20/2024,658.244.409,"17.702.286.571,60",662.491.038,"17.426.179.266,56",92.449.965,"2.148.389.718,91",91.151.681,"2.078.019.573,61"
06/19/2024,647.187.137,"17.953.753.690,82",598.604.016,"16.181.853.533,71",188.893.721,"4.334.058.978,16",184.792.052,"4.219.065.863,95"
